revision_timing,nth_revision,sleep_duration,topic_difficulty,study_duration,session_time,S_true,retention_percentage
90.8,5,8.1,6,100,night,441.94,86.17
32.6,3,4.1,5,39,morning,98.94,72.98
2.6,3,5.6,4,69,evening,134.04,90.89
20.5,2,6.8,5,180,evening,81.65,74.49
165.6,4,5.9,4,66,evening,239.47,50.29
2.0,6,8.5,7,59,evening,746.97,98.5
1.2,2,4.1,8,98,night,44.57,99.0
39.2,0,8.6,5,70,evening,25.05,22.45
17.2,0,8.2,6,91,night,22.9,49.27
16.7,2,4.0,8,155,morning,59.18,70.44
1.4,4,7.1,3,180,morning,384.28,99.9
28.8,3,4.9,7,145,evening,99.36,80.42
313.7,0,5.8,10,151,evening,19.79,0.0
17.7,0,6.3,6,89,morning,24.33,48.62
8.3,2,3.8,7,26,morning,47.82,82.56
240.5,0,6.2,8,161,night,19.84,0.0
107.4,0,5.6,4,87,morning,27.01,0.0
6.0,1,7.9,5,44,afternoon,43.94,91.62
28.4,0,8.1,3,121,morning,35.64,44.7
10.4,5,3.9,8,101,afternoon,297.44,98.62
58.6,0,7.3,10,61,night,17.63,6.87
27.6,0,4.5,4,123,afternoon,20.37,22.22
103.2,3,5.9,1,49,afternoon,160.54,49.31
168.7,1,4.7,3,134,afternoon,39.79,0.0
241.0,1,9.6,9,83,evening,38.18,1.91
113.6,2,5.6,9,102,morning,70.31,23.06
46.5,0,3.3,8,175,afternoon,16.91,17.42
37.1,2,5.2,5,57,morning,76.83,67.48
7.9,6,5.3,5,35,afternoon,704.69,95.67
21.8,0,3.8,8,53,morning,15.12,28.54
38.4,6,8.4,6,180,afternoon,973.51,100.0
82.7,0,6.6,6,90,morning,24.38,0.0
52.0,2,5.8,3,83,night,74.97,44.11
14.0,3,6.4,7,45,morning,120.83,93.15
184.0,5,5.0,9,85,evening,350.24,58.05
0.5,1,6.6,6,31,morning,37.77,100.0
13.6,7,6.5,5,129,afternoon,1592.15,100.0
7.9,2,3.2,6,42,night,42.81,82.63
87.1,8,7.1,6,25,afternoon,2421.94,100.0
12.4,4,4.8,7,14,night,122.02,81.8
7.3,2,6.8,5,80,afternoon,75.33,91.75
147.6,3,5.9,2,83,morning,176.45,55.14
17.2,0,6.0,9,151,morning,23.26,49.89
40.8,3,7.0,7,163,afternoon,158.7,76.56
34.9,0,9.2,4,113,night,26.88,25.64
128.1,4,6.6,7,39,morning,214.04,54.47
225.4,0,5.9,5,39,morning,22.62,0.0
4.6,0,3.4,7,89,evening,15.42,73.89
19.0,2,5.9,9,70,night,53.08,70.89
